,symbol,companyid
666,BLV-USD-STK,33837532
667,BLW-USD-STK,6478678
668,BLX-USD-STK,327054
669,BLZE-USD-STK,106486370
670,BMAC-USD-STK,1680942646
671,BMBL-USD-STK,331389951
672,BME-USD-STK,13699512
673,BMEA-USD-STK,695310535
674,BMEZ-USD-STK,633782760
675,BMI-USD-STK,253478
676,BMRC-USD-STK,414400
677,BMRN-USD-STK,25605
678,BMTC-USD-STK,256311
679,BMY-USD-STK,25798
680,BND-USD-STK,33837570
681,BNDW-USD-STK,569192629
682,BNDX-USD-STK,204607725
683,BNED-USD-STK,286180590
684,BNFT-USD-STK,7664925
685,BNGO-USD-STK,5900432
686,BNL-USD-STK,62454807
687,BNRE-USD-STK,710011876
688,BOAC-USD-STK,686642805
689,BOC-USD-STK,114765086
690,BODY-USD-STK,690877278
691,BOH-USD-STK,253241
692,BOIL-USD-STK,141381155
693,BOKF-USD-STK,323261
694,BOLT-USD-STK,297390520
695,BOMN-USD-STK,114765086
696,BOND-USD-STK,171935623
697,BOOM-USD-STK,34668
698,BOOT-USD-STK,266797777
699,BOTZ-USD-STK,369688055
700,BOWL-USD-STK,1475871
701,BOWX-USD-STK,672022135
702,BOX-USD-STK,23245928
703,BOXD-USD-STK,245015732
704,BPAC-USD-STK,1685104948
705,BPMC-USD-STK,129802746
706,BPOP-USD-STK,253660
707,BPT-USD-STK,335236
708,BPYU-USD-STK,328377
709,BR-USD-STK,1032802
710,BRBR-USD-STK,632289716
711,BRBS-USD-STK,3103379
712,BRC-USD-STK,171296
713,BRCC-USD-STK,1757585121
714,BRDG-USD-STK,132698650
715,BRDS-USD-STK,552775880
716,BRG-USD-STK,47687921
717,BRK A-USD-STK,255251
718,BRKH-USD-STK,1673587918
719,BRKL-USD-STK,384884
720,BRKR-USD-STK,527317
721,BRKS-USD-STK,336648
722,BRMK-USD-STK,263797983
723,BRO-USD-STK,297244
724,BROS-USD-STK,538319234
725,BRP-USD-STK,427546442
726,BRSP-USD-STK,544510231
727,BRT-USD-STK,253440
728,BRW-USD-STK,3590588
729,BRX-USD-STK,127694719
730,BRY-USD-STK,255323
731,BRZE-USD-STK,232496287
732,BSCM-USD-STK,237657271
733,BSCN-USD-STK,269298410
734,BSCO-USD-STK,269298409
735,BSCP-USD-STK,311359379
736,BSCQ-USD-STK,378823644
737,BSCR-USD-STK,532720557
738,BSCS-USD-STK,572378000
739,BSET-USD-STK,253995
740,BSIG-USD-STK,310545
741,BSJM-USD-STK,269298407
742,BSJN-USD-STK,311359378
743,BSJO-USD-STK,378823645
744,BSJP-USD-STK,532720559
745,BSJQ-USD-STK,572377999
746,BSN-USD-STK,683542266
747,BST-USD-STK,270362841
748,BSTZ-USD-STK,604484609
749,BSV-USD-STK,33837549
750,BSX-USD-STK,317627
751,BSY-USD-STK,25514
752,BTAI-USD-STK,543567629
753,BTAL-USD-STK,140449181
754,BTAQ-USD-STK,681316414
755,BTBT-USD-STK,541246039
756,BTNB-USD-STK,694270191
757,BTO-USD-STK,6156757
758,BTRS-USD-STK,7691393
759,BTT-USD-STK,216335993
760,BTU-USD-STK,32792
761,BTWN-USD-STK,672866163
762,BTX-USD-STK,24349026
763,BTZ-USD-STK,30838318
764,BUFD-USD-STK,699691582
765,BUFR-USD-STK,655142053
766,BUG-USD-STK,636825690
767,BUI-USD-STK,140063443
768,BURL-USD-STK,242224249
769,BUSE-USD-STK,372741
770,BV-USD-STK,568706872
771,BVH-USD-STK,254087
772,BVS-USD-STK,154172707
773,BW-USD-STK,276172365
774,BWA-USD-STK,25708
775,BWMX-USD-STK,23033377
776,BWV-USD-STK,600261365
777,BWX-USD-STK,37616181
778,BWXT-USD-STK,33424519
779,BX-USD-STK,671980
780,BXC-USD-STK,10004802
781,BXMT-USD-STK,258279
782,BXMX-USD-STK,11328828
783,BXP-USD-STK,368278
784,BXS-USD-STK,253288
785,BXSL-USD-STK,576210022
786,BY-USD-STK,4324706
787,BYD-USD-STK,327880
788,BYFC-USD-STK,371418
789,BYM-USD-STK,3606418
790,BYND-USD-STK,222996066
791,BYRN-USD-STK,26378339
792,BYSI-USD-STK,409784135
793,BYTS-USD-STK,706016178
794,BZFD-USD-STK,46607363
795,BZH-USD-STK,332730
796,C-USD-STK,391687
797,CAAP-USD-STK,543556126
798,CABA-USD-STK,590735322
799,CABO-USD-STK,679139
800,CAC-USD-STK,366107
801,CACC-USD-STK,318561
802,CACI-USD-STK,93425
803,CADE-USD-STK,253288
804,CADL-USD-STK,37378731
805,CAG-USD-STK,26893
806,CAH-USD-STK,172207
807,CAI-USD-STK,13413134
808,CAKE-USD-STK,319496
809,CAL-USD-STK,256893
810,CALF-USD-STK,433090253
811,CALM-USD-STK,358944
812,CALX-USD-STK,642230
813,CAMP-USD-STK,257424
814,CAMT-USD-STK,527153
815,CANO-USD-STK,417073719
816,CAP-USD-STK,598344770
817,CAR-USD-STK,26268
818,CARA-USD-STK,23340079
819,CARE-USD-STK,33103467
820,CARG-USD-STK,530130829
821,CARR-USD-STK,620281
822,CARS-USD-STK,7612672
823,CASA-USD-STK,10332229
824,CASH-USD-STK,343688
825,CASS-USD-STK,369520
826,CASY-USD-STK,258629
827,CAT-USD-STK,259378
828,CATC-USD-STK,1052484
829,CATH-USD-STK,309121871
830,CATO-USD-STK,258697
831,CATY-USD-STK,316405
832,CB-USD-STK,203028
833,CBAH-USD-STK,694396415
834,CBAT-USD-STK,13719524
835,CBAY-USD-STK,31424
836,CBB-USD-STK,168151
837,CBL-USD-STK,327735
838,CBOE-USD-STK,32624297
839,CBRE-USD-STK,4204816
840,CBRL-USD-STK,264897
841,CBSH-USD-STK,262144
842,CBT-USD-STK,172131
843,CBTX-USD-STK,26579685
844,CBU-USD-STK,262564
845,CBZ-USD-STK,361972
846,CC-USD-STK,249061912
847,CCAC-USD-STK,648584040
848,CCAP-USD-STK,285640420
849,CCB-USD-STK,46306705
850,CCCC-USD-STK,321572356
851,CCCS-USD-STK,6860584
852,CCD-USD-STK,260426038
853,CCF-USD-STK,172593
854,CCI-USD-STK,27198
855,CCIV-USD-STK,677010822
856,CCK-USD-STK,27199
857,CCL-USD-STK,258823
